,QID,EID,QPA,PAA,IPA,ISA,Label
0,NAEP_2005_4_S13+13,73fa-1e22-26a8-1a7c,1.8,0.6,0,2.4,1
1,NAEP_2005_4_S13+13,5be6-58b4-ec52-40b2,0,0,0,0,1
2,NAEP_2005_4_S13+13,e565-87e6-6f00-1598,0,0,0,0,1
3,NAEP_2005_4_S13+13,d257-69b5-a1b9-f7e7,0,0,0,0,1
4,NAEP_2005_4_S13+13,0da9-2984-f126-bcad,0,0,0,0,1
5,NAEP_2005_4_S13+13,825b-a440-75bd-3001,0.6,0.6,0,3.6,1
6,NAEP_2005_4_S13+13,e473-7297-61c1-56fa,0,0.6,0.3,4.2,1
7,NAEP_2005_4_S13+13,af26-8083-b908-7d3b,0,0,0,0,1
8,NAEP_2005_4_S13+13,dbe8-e776-f804-99a0,0,0,0,4.8,1
9,NAEP_2005_4_S13+13,395b-4954-311f-4749,0,0,0,0,1
10,NAEP_2005_4_S13+13,4505-3e07-cfda-f1f5,0,0,0,0,0
11,NAEP_2005_4_S13+13,cbb4-12c7-1491-f24b,0,0,0,0,0
12,NAEP_2005_4_S13+13,e302-985d-b7ef-ad07,0.6,0,0,4.2,0
13,NAEP_2005_4_S13+13,31d9-98d7-6a10-9053,0,0.6,0.6,4.2,0
14,NAEP_2005_4_S13+13,d047-b416-20a3-5fca,0,0.6,0.3,4.2,0
15,NAEP_2005_4_S13+13,20e2-689d-b7c6-528a,0,0,0,0,0
16,NAEP_2005_4_S13+13,4e12-62f2-0830-d602,0.6,0,0,4.2,0
17,NAEP_2005_4_S13+13,d711-ca1e-0766-bd59,0.6,0,0,4.2,0
18,NAEP_2005_4_S13+13,2d69-ee53-599f-9438,0.6,0,0,4.2,0
19,NAEP_2005_4_S13+13,66df-2200-f730-17c3,0,0.381741246,0.3,4.2,0
20,NAEP_2005_4_S13+13,2655-9071-3456-3a2c,0,0,0,0,0
21,NAEP_2005_4_S13+13,0b7b-cf23-e64f-4200,0,0.6,0.6,4.003754905,0
22,NAEP_2005_4_S13+13,bbf1-262a-c774-3f47,0.6,0,0,4.2,0
23,NAEP_2005_4_S13+13,dd7d-0d6d-91f5-1a83,0,0,0,0,0
24,NAEP_2005_4_S13+13,38a3-88df-f958-0049,0.6,0.6,0.3,3.6,0
25,NAEP_2005_4_S13+13,e202-3f7d-7259-9efa,0,1.2,0.3,3.6,0
26,NAEP_2005_4_S13+13,49f5-727d-92b5-03aa,0,0.6,0.6,4.2,0
27,NAEP_2005_4_S13+13,a0f5-8469-7346-63fc,0,0,0,0,0
28,NAEP_2005_4_S13+13,1cca-1ac1-5bea-5cf6,0,0,0,0,0
29,NAEP_2005_4_S13+13,4a85-2fef-539d-2162,0,0,0,0,0
30,Mercury_SC_LBS10791,b018-4375-d391-cb98,0.6,0.364956049,0.6,3.6,1
31,Mercury_SC_LBS10791,3dd5-2225-75cc-e350,0,0,0,0,1
32,Mercury_SC_LBS10791,54cf-cc71-b887-3b08,0,0,0,0,1
33,Mercury_SC_LBS10791,fe39-10c4-9dd9-d745,0,0,0,0,1
34,Mercury_SC_LBS10791,02f7-3d00-6d43-0289,0,0,0,0,1
35,Mercury_SC_LBS10791,741b-fdd0-a51a-23fd,1.2,0,0,3.6,0
36,Mercury_SC_LBS10791,ab12-89b8-f02b-6f3a,0,0,0,0,0
37,Mercury_SC_LBS10791,5ceb-3bec-15a9-e1df,0,0,0,3.9692578,0
38,Mercury_SC_LBS10791,f5ca-b95b-fd83-47d8,0,0.335043951,0.3,3.946407872,0
